TIMESTAMP,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Direction,Pressure,Relative Humidity,Precipitable Water,gInvVDCin_Avg,gArray_Tilt,rInvVDCin_Avg,rArray_Tilt,cInvVDCin_Avg,cArray_Tilt
2015-01-01 10:30:00,2015,1,1,10,30,416,64,885,3.7,1,0,66.57,0.129,233.7,1000,51.62,0.424,367.5,20,383.2,10,384.2,5
2015-01-01 11:00:00,2015,1,1,11,0,459,65,912,3.8,2,0,64.38,0.129,236.2,1000,49.68,0.427,363.8,20,369.1,10,382.1,5
2015-01-01 12:00:00,2015,1,1,12,0,502,67,933,3.8,3,0,62.18,0.129,235.7,1000,48.39,0.427,367.1,20,367.2,10,385.5,5
2015-01-01 12:30:00,2015,1,1,12,30,501,67,932,3.7,3,0,62.24,0.129,235.7,1000,48.36,0.431,360.7,20,363.3,10,381.2,5
2015-01-01 13:00:00,2015,1,1,13,0,484,67,920,3.7,3,0,63.1,0.129,234.6,1000,47.41,0.435,361.3,20,361.6,10,377.5,5
2015-01-01 13:30:00,2015,1,1,13,30,452,65,905,3.4,3,0,64.7,0.129,234.6,1000,47.39,0.444,361.2,20,361.7,10,381.3,5
2015-01-01 14:30:00,2015,1,1,14,30,281,94,546,2.4,3,4,69.93,0.129,231,1000,54.6,0.469,371.7,20,377.9,10,376.6,5
2015-01-01 15:00:00,2015,1,1,15,0,279,55,783,1.8,3,0,73.41,0.129,225.2,1000,63.19,0.486,363.6,20,376.9,10,378.9,5
2015-01-01 15:30:00,2015,1,1,15,30,201,48,703,1.7,1,0,77.36,0.129,225.2,1000,72.86,0.505,380,20,394.6,10,382.5,5
2015-01-02 07:30:00,2015,1,2,7,30,0,0,0,1.3,-1,7,90.54,0.129,277.9,1000,82.7,0.927,353.7,20,284,10,358.4,5
2015-01-02 08:00:00,2015,1,2,8,0,38,28,133,1.5,0,7,85.61,0.129,282.8,1000,83.18,0.969,360.3,20,350.6,10,363.9,5
2015-01-02 08:30:00,2015,1,2,8,30,93,53,256,1.7,0,7,80.97,0.129,282.8,1010,77.43,1.004,376.5,20,381,10,375.9,5
2015-01-02 09:30:00,2015,1,2,9,30,213,98,387,2,2,7,72.78,0.129,286.2,1010,73.36,1.042,380.5,20,401.8,10,383.1,5
2015-01-02 10:30:00,2015,1,2,10,30,303,142,403,2.2,3,7,66.53,0.129,286.3,1010,67.94,1.026,375.5,20,380.8,10,378.6,5
2015-01-02 11:00:00,2015,1,2,11,0,356,140,498,2.3,4,7,64.33,0.129,285,1010,61.78,1.006,373.2,20,376.7,10,373.3,5
2015-01-02 11:30:00,2015,1,2,11,30,367,160,455,2.4,4,7,62.83,0.129,285,1010,61.77,1.029,363.9,20,370.8,10,378.1,5
2015-01-02 12:30:00,2015,1,2,12,30,315,202,242,2.4,5,6,62.15,0.129,276.1,1010,57.71,1.086,368.9,20,369.9,10,376.1,5
2015-01-02 13:00:00,2015,1,2,13,0,344,175,371,2.3,5,7,62.99,0.129,274.1,1010,58.64,1.122,369.2,20,369,10,372.2,5
2015-01-02 14:30:00,2015,1,2,14,30,244,126,342,1.2,4,7,69.8,0.129,274.1,1010,66.3,1.061,369,20,377.8,10,373.9,5
2015-01-02 15:00:00,2015,1,2,15,0,217,86,453,0.8,4,8,73.28,0.129,265.6,1010,75.83,1.032,370.3,20,382.6,10,372.2,5
2015-01-02 16:30:00,2015,1,2,16,30,29,24,83,1,1,4,86.26,0.129,254.1,1010,78.97,0.942,357.4,20,373.7,10,393.6,5
2015-01-03 08:30:00,2015,1,3,8,30,29,29,0,2,0,7,80.96,0.129,115.7,1010,96.35,2.124,370.9,20,372.1,10,370.7,5
2015-01-03 09:30:00,2015,1,3,9,30,13,13,0,2.4,1,7,72.75,0.129,123.1,1010,93.55,2.131,362.6,20,355.9,10,366.1,5
2015-01-03 10:00:00,2015,1,3,10,0,26,26,0,2.7,1,6,69.34,0.129,126.8,1010,96.22,2.15,351.1,20,341.1,10,397.1,5
2015-01-03 11:00:00,2015,1,3,11,0,41,41,0,3.1,2,6,64.26,0.129,130,1010,91.9,2.295,371.5,20,374.5,10,377.1,5
2015-01-03 11:30:00,2015,1,3,11,30,76,76,0,3.1,2,6,62.75,0.129,130,1010,91.82,2.39,382.4,20,351.8,10,387.8,5
2015-01-03 12:00:00,2015,1,3,12,0,34,34,0,3.1,2,7,62.01,0.129,133.2,1010,95,2.486,374.3,20,364.3,10,377,5
2015-01-03 12:30:00,2015,1,3,12,30,133,133,0,2.8,2,7,62.05,0.129,133.2,1010,94.94,2.523,362,20,379.4,10,369.7,5
2015-01-03 14:00:00,2015,1,3,14,0,34,34,0,2.2,2,4,66.75,0.129,147.3,1010,100,2.534,375.2,20,383.6,10,373.3,5
2015-01-03 15:30:00,2015,1,3,15,30,26,26,0,1.3,1,7,77.09,0.129,144.7,1000,100,2.642,384.6,20,354.1,10,394.2,5
2015-01-03 16:30:00,2015,1,3,16,30,5,5,0,1.1,1,7,86.12,0.129,134.1,1000,100,2.794,364.2,20,281.8,10,364.4,5
2015-01-04 09:00:00,2015,1,4,9,0,91,86,23,4.2,8,7,76.63,0.129,205.6,990,100,2.768,380,20,324.7,10,381.7,5
2015-01-04 09:30:00,2015,1,4,9,30,17,17,0,4.3,9,7,72.72,0.129,205.6,990,99.03,2.809,374.5,20,324.9,10,381.5,5
2015-01-04 10:30:00,2015,1,4,10,30,92,92,0,4.1,10,7,66.42,0.129,208.9,990,96.36,2.925,340.4,20,314.8,10,362.3,5
2015-01-04 11:30:00,2015,1,4,11,30,143,143,0,4,11,6,62.67,0.129,202.1,990,97.68,2.944,359,20,355.8,10,360.1,5
2015-01-04 12:00:00,2015,1,4,12,0,79,79,0,4.3,12,6,61.91,0.129,209.8,990,97.22,2.888,350.7,20,342.4,10,357.2,5
2015-01-04 12:30:00,2015,1,4,12,30,83,83,0,3.9,12,6,61.94,0.129,209.8,990,97.19,2.845,349.9,20,357.3,10,356.5,5
2015-01-04 14:00:00,2015,1,4,14,0,87,87,0,2.5,12,6,66.62,0.129,214.1,990,100,2.801,348.1,20,333,10,349,5
2015-01-04 15:00:00,2015,1,4,15,0,106,104,4,2.3,11,6,73,0.129,225.3,990,100,2.728,329.9,20,335.7,10,336.4,5
2015-01-04 17:00:00,2015,1,4,17,0,0,0,0,2,10,7,90.94,0.129,243.3,990,100,2.396,311.7,20,283,10,316,5
2015-01-05 07:30:00,2015,1,5,7,30,0,0,0,3.7,0,4,90.56,0.129,294.4,1000,66.65,0.58,374.3,20,286.8,10,369.1,5
2015-01-05 08:00:00,2015,1,5,8,0,52,29,303,4.2,0,0,85.61,0.129,293,1000,63.77,0.562,361.7,20,331,10,392.6,5
2015-01-05 09:00:00,2015,1,5,9,0,211,59,657,5.1,0,4,76.61,0.129,293.7,1010,57.76,0.479,338.1,20,392.9,10,347.7,5
2015-01-05 11:30:00,2015,1,5,11,30,497,68,930,5.8,0,0,62.58,0.129,293.3,1010,49.79,0.334,374.2,20,371.1,10,388.4,5
2015-01-05 12:00:00,2015,1,5,12,0,514,66,947,5.9,0,0,61.8,0.129,293.7,1010,46.6,0.311,370.6,20,371.3,10,387.3,5
2015-01-05 13:00:00,2015,1,5,13,0,499,63,949,5.8,0,0,62.63,0.129,295.2,1010,44.05,0.286,369.8,20,367.1,10,387.6,5
2015-01-05 13:30:00,2015,1,5,13,30,469,61,937,5.6,0,0,64.2,0.129,295.2,1010,44.06,0.275,373.5,20,378.8,10,389.3,5
2015-01-05 14:00:00,2015,1,5,14,0,425,57,921,5.4,0,0,66.47,0.129,299,1010,42.11,0.265,375.3,20,374.9,10,391.5,5
2015-01-05 14:30:00,2015,1,5,14,30,367,54,889,5,0,0,69.38,0.129,299,1010,42.14,0.269,380,20,371.3,10,392.9,5
2015-01-05 15:30:00,2015,1,5,15,30,220,42,776,3.9,-1,0,76.79,0.129,301.3,1010,44.14,0.276,386.8,20,390,10,394.9,5
2015-01-05 16:00:00,2015,1,5,16,0,135,36,644,3.2,-2,8,81.14,0.129,303.8,1010,48.29,0.28,388.8,20,382.3,10,375.5,5
2015-01-05 17:00:00,2015,1,5,17,0,0,0,0,2.1,-4,0,90.79,0.129,309.1,1010,59.13,0.282,369.2,20,1.583,10,371.4,5
2015-01-06 09:00:00,2015,1,6,9,0,61,61,0,3,-4,7,76.58,0.866,171.7,1000,74.53,0.75,351.6,20,284,10,356.9,5
2015-01-06 10:00:00,2015,1,6,10,0,177,148,82,3,-4,4,69.19,0.866,184.1,1000,77.44,0.715,370.4,20,252.8,10,373.9,5
2015-01-06 12:30:00,2015,1,6,12,30,239,205,72,2.4,-1,4,61.7,0.866,231.2,1000,68.63,0.657,371.1,20,285,10,372.4,5
2015-01-06 13:30:00,2015,1,6,13,30,179,169,23,2.4,0,4,64.06,0.866,259.7,1000,67.22,0.643,370.6,20,285,10,374.4,5
2015-01-06 14:30:00,2015,1,6,14,30,230,142,248,2.6,0,4,69.23,0.866,288.2,1000,69.96,0.61,387.7,20,298.1,10,382.5,5
2015-01-07 08:00:00,2015,1,7,8,0,21,21,0,4.6,-5,4,85.58,0.866,300,1000,56.42,0.455,328,20,283,10,20.81,5
2015-01-07 08:30:00,2015,1,7,8,30,52,52,0,4.8,-5,4,80.89,0.866,300,1000,56.44,0.412,375.6,20,78.75,10,381.2,5
2015-01-07 09:00:00,2015,1,7,9,0,103,90,57,5.1,-5,4,76.54,0.866,300.7,1000,52.48,0.37,385.7,20,285.4,10,382.4,5
2015-01-07 10:30:00,2015,1,7,10,30,302,148,380,5.4,-6,4,66.21,0.866,299.7,1000,49.33,0.296,393.3,20,58.47,10,393.5,5
2015-01-07 11:00:00,2015,1,7,11,0,388,110,634,5.5,-6,7,63.94,0.866,298.9,1000,51.07,0.278,387.1,20,354,10,412.6,5
