,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Direction,Pressure,Relative Humidity,Precipitable Water
2015-01-01 00:00:00,2015,1,1,0,0,0,0,0,1.6,-3,0,163.68,0.129,254.0,1000,73.5,0.378
2015-01-01 00:30:00,2015,1,1,0,30,0,0,0,1.6,-3,0,163.45000000000002,0.129,254.0,1000,73.5,0.381
2015-01-01 01:00:00,2015,1,1,1,0,0,0,0,1.6,-3,0,160.95000000000002,0.129,242.9,1000,73.68,0.385
2015-01-01 01:30:00,2015,1,1,1,30,0,0,0,1.6,-3,0,156.92000000000002,0.129,242.9,1000,73.67,0.382
2015-01-01 02:00:00,2015,1,1,2,0,0,0,0,1.7000000000000002,-3,0,152.03,0.129,235.4,1000,73.72,0.38
2015-01-01 02:30:00,2015,1,1,2,30,0,0,0,1.7000000000000002,-3,0,146.67000000000002,0.129,235.4,1000,73.71000000000001,0.38
2015-01-01 03:00:00,2015,1,1,3,0,0,0,0,1.7000000000000002,-3,0,141.06,0.129,234.2,1000,74.27,0.38
2015-01-01 03:30:00,2015,1,1,3,30,0,0,0,1.6,-3,0,135.31,0.129,234.2,1000,74.25,0.381
2015-01-01 04:00:00,2015,1,1,4,0,0,0,0,1.6,-4,0,129.51,0.129,232.1,1000,80.47,0.382
2015-01-01 04:30:00,2015,1,1,4,30,0,0,0,1.6,-4,0,123.69,0.129,232.1,1000,80.46000000000001,0.386
2015-01-01 05:00:00,2015,1,1,5,0,0,0,0,1.7000000000000002,-4,0,117.91,0.129,228.4,1000,80.60000000000001,0.391
2015-01-01 05:30:00,2015,1,1,5,30,0,0,0,1.8,-4,0,112.18,0.129,228.4,1000,80.62,0.399
2015-01-01 06:00:00,2015,1,1,6,0,0,0,0,1.9,-4,0,106.55,0.129,226.6,1000,80.63,0.408
2015-01-01 06:30:00,2015,1,1,6,30,0,0,0,2.0,-4,0,101.04,0.129,226.6,1000,80.64,0.41
2015-01-01 07:00:00,2015,1,1,7,0,0,0,0,2.1,-4,0,95.68,0.129,223.6,1000,80.77,0.413
2015-01-01 07:30:00,2015,1,1,7,30,0,0,0,2.4000000000000004,-3,0,90.52,0.129,223.6,1000,74.96000000000001,0.41
2015-01-01 08:00:00,2015,1,1,8,0,57,24,423,2.7,-2,0,85.60000000000001,0.129,220.0,1000,70.54,0.408
2015-01-01 08:30:00,2015,1,1,8,30,135,39,612,3.0,-1,0,80.96000000000001,0.129,220.0,1000,65.55,0.41
2015-01-01 09:00:00,2015,1,1,9,0,217,49,728,3.3000000000000003,0,0,76.67,0.129,226.7,1000,58.35,0.413
2015-01-01 09:30:00,2015,1,1,9,30,293,56,801,3.5,0,0,72.79,0.129,226.7,1000,58.34,0.417
2015-01-01 10:00:00,2015,1,1,10,0,360,60,852,3.7,1,0,69.4,0.129,233.7,1000,51.66,0.422
2015-01-01 10:30:00,2015,1,1,10,30,416,64,885,3.7,1,0,66.57000000000001,0.129,233.7,1000,51.620000000000005,0.424
2015-01-01 11:00:00,2015,1,1,11,0,459,65,912,3.8,2,0,64.38,0.129,236.2,1000,49.68,0.427
2015-01-01 11:30:00,2015,1,1,11,30,488,66,925,3.8,2,0,62.9,0.129,236.2,1000,49.64,0.427
2015-01-01 12:00:00,2015,1,1,12,0,502,67,933,3.8,3,0,62.18,0.129,235.7,1000,48.39,0.427
2015-01-01 12:30:00,2015,1,1,12,30,501,67,932,3.7,3,0,62.24,0.129,235.7,1000,48.36,0.431
2015-01-01 13:00:00,2015,1,1,13,0,484,67,920,3.7,3,0,63.1,0.129,234.6,1000,47.41,0.435
2015-01-01 13:30:00,2015,1,1,13,30,452,65,905,3.4000000000000004,3,0,64.7,0.129,234.6,1000,47.39,0.444
2015-01-01 14:00:00,2015,1,1,14,0,340,96,623,3.1,4,4,67.0,0.129,231.0,1000,50.9,0.453
2015-01-01 14:30:00,2015,1,1,14,30,281,94,546,2.4000000000000004,3,4,69.93,0.129,231.0,1000,54.6,0.469
2015-01-01 15:00:00,2015,1,1,15,0,279,55,783,1.8,3,0,73.41,0.129,225.2,1000,63.190000000000005,0.486
2015-01-01 15:30:00,2015,1,1,15,30,201,48,703,1.7000000000000002,1,0,77.36,0.129,225.2,1000,72.86,0.505
2015-01-01 16:00:00,2015,1,1,16,0,120,37,580,1.6,0,0,81.72,0.129,224.1,1000,77.73,0.525
2015-01-01 16:30:00,2015,1,1,16,30,44,21,370,1.7000000000000002,0,0,86.4,0.129,224.1,1000,77.74,0.55
2015-01-01 17:00:00,2015,1,1,17,0,0,0,0,1.9,0,0,91.37,0.129,230.2,1000,75.01,0.5760000000000001
2015-01-01 17:30:00,2015,1,1,17,30,0,0,0,1.9,0,0,96.57,0.129,230.2,1000,75.03,0.602
2015-01-01 18:00:00,2015,1,1,18,0,0,0,0,2.0,0,0,101.95,0.129,237.6,1000,77.28,0.628
2015-01-01 18:30:00,2015,1,1,18,30,0,0,0,1.9,0,0,107.49,0.129,237.6,1000,77.29,0.641
2015-01-01 19:00:00,2015,1,1,19,0,0,0,0,1.8,0,0,113.14,0.129,242.3,1000,78.97,0.655
2015-01-01 19:30:00,2015,1,1,19,30,0,0,0,1.7000000000000002,0,0,118.87,0.129,242.3,1000,78.97,0.654
2015-01-01 20:00:00,2015,1,1,20,0,0,0,0,1.7000000000000002,0,4,124.66,0.129,245.0,1000,80.19,0.654
2015-01-01 20:30:00,2015,1,1,20,30,0,0,0,1.6,0,0,130.48,0.129,245.0,1000,80.2,0.646
2015-01-01 21:00:00,2015,1,1,21,0,0,0,0,1.6,-1,4,136.27,0.129,246.2,1000,86.79,0.639
2015-01-01 21:30:00,2015,1,1,21,30,0,0,0,1.5,-1,4,142.0,0.129,246.2,1000,86.81,0.631
2015-01-01 22:00:00,2015,1,1,22,0,0,0,0,1.5,-1,0,147.57,0.129,249.1,1000,87.55,0.623
2015-01-01 22:30:00,2015,1,1,22,30,0,0,0,1.4,-1,4,152.86,0.129,249.1,1000,87.55,0.613
2015-01-01 23:00:00,2015,1,1,23,0,0,0,0,1.4,-1,8,157.63,0.129,255.8,1000,87.78,0.604
2015-01-01 23:30:00,2015,1,1,23,30,0,0,0,1.3,-1,4,161.44,0.129,255.8,1000,87.78,0.602
2015-01-02 00:00:00,2015,1,2,0,0,0,0,0,1.3,-1,4,163.59,0.129,260.8,1000,87.93,0.6
2015-01-02 00:30:00,2015,1,2,0,30,0,0,0,1.3,-1,4,163.39,0.129,260.8,1000,87.95,0.608
2015-01-02 01:00:00,2015,1,2,1,0,0,0,0,1.3,-1,4,160.93,0.129,264.40000000000003,1000,87.15,0.616
2015-01-02 01:30:00,2015,1,2,1,30,0,0,0,1.3,-1,4,156.93,0.129,264.40000000000003,1000,87.16,0.63
2015-01-02 02:00:00,2015,1,2,2,0,0,0,0,1.3,-1,1,152.05,0.129,264.90000000000003,1000,86.62,0.644
2015-01-02 02:30:00,2015,1,2,2,30,0,0,0,1.3,-1,4,146.71,0.129,264.90000000000003,1000,86.63,0.659
2015-01-02 03:00:00,2015,1,2,3,0,0,0,0,1.3,-1,4,141.1,0.129,263.1,1000,84.92,0.674
2015-01-02 03:30:00,2015,1,2,3,30,0,0,0,1.3,-1,4,135.36,0.129,263.1,1000,84.95,0.7010000000000001
2015-01-02 04:00:00,2015,1,2,4,0,0,0,0,1.4,-1,7,129.55,0.129,264.2,1000,84.2,0.728
2015-01-02 04:30:00,2015,1,2,4,30,0,0,0,1.3,-1,7,123.74,0.129,264.2,1000,84.24,0.765
2015-01-02 05:00:00,2015,1,2,5,0,0,0,0,1.3,-1,7,117.95,0.129,269.2,1000,83.35000000000001,0.802
2015-01-02 05:30:00,2015,1,2,5,30,0,0,0,1.2000000000000002,-1,7,112.23,0.129,269.2,1000,83.38,0.8220000000000001
2015-01-02 06:00:00,2015,1,2,6,0,0,0,0,1.2000000000000002,-2,7,106.59,0.129,275.40000000000003,1000,88.92,0.842
2015-01-02 06:30:00,2015,1,2,6,30,0,0,0,1.2000000000000002,-2,4,101.07,0.129,275.40000000000003,1000,88.96000000000001,0.864
2015-01-02 07:00:00,2015,1,2,7,0,0,0,0,1.2000000000000002,-2,7,95.71,0.129,277.90000000000003,1000,88.94,0.886
2015-01-02 07:30:00,2015,1,2,7,30,0,0,0,1.3,-1,7,90.54,0.129,277.90000000000003,1000,82.7,0.927
2015-01-02 08:00:00,2015,1,2,8,0,38,28,133,1.5,0,7,85.61,0.129,282.8,1000,83.18,0.969
2015-01-02 08:30:00,2015,1,2,8,30,93,53,256,1.7000000000000002,0,7,80.97,0.129,282.8,1010,77.43,1.004
2015-01-02 09:00:00,2015,1,2,9,0,137,85,225,1.9,1,4,76.67,0.129,286.2,1010,73.34,1.039
2015-01-02 09:30:00,2015,1,2,9,30,213,98,387,2.0,2,7,72.78,0.129,286.2,1010,73.36,1.042
2015-01-02 10:00:00,2015,1,2,10,0,273,112,456,2.2,3,7,69.37,0.129,286.3,1010,67.96000000000001,1.046
2015-01-02 10:30:00,2015,1,2,10,30,303,142,403,2.2,3,7,66.53,0.129,286.3,1010,67.94,1.026
2015-01-02 11:00:00,2015,1,2,11,0,356,140,498,2.3000000000000003,4,7,64.33,0.129,285.0,1010,61.78,1.006
2015-01-02 11:30:00,2015,1,2,11,30,367,160,455,2.4000000000000004,4,7,62.83,0.129,285.0,1010,61.77,1.029
2015-01-02 12:00:00,2015,1,2,12,0,363,177,398,2.5,5,7,62.1,0.129,276.1,1010,57.71,1.051
2015-01-02 12:30:00,2015,1,2,12,30,315,202,242,2.4000000000000004,5,6,62.15,0.129,276.1,1010,57.71,1.086
2015-01-02 13:00:00,2015,1,2,13,0,344,175,371,2.3000000000000003,5,7,62.99,0.129,274.1,1010,58.64,1.122
2015-01-02 13:30:00,2015,1,2,13,30,365,125,557,1.9,5,7,64.59,0.129,274.1,1010,58.64,1.106
2015-01-02 14:00:00,2015,1,2,14,0,283,149,339,1.6,5,7,66.88,0.129,274.1,1010,61.8,1.091
2015-01-02 14:30:00,2015,1,2,14,30,244,126,342,1.2000000000000002,4,7,69.8,0.129,274.1,1010,66.3,1.061
2015-01-02 15:00:00,2015,1,2,15,0,217,86,453,0.8,4,8,73.28,0.129,265.6,1010,75.83,1.032
2015-01-02 15:30:00,2015,1,2,15,30,132,81,233,0.9,2,8,77.23,0.129,265.6,1010,87.36,1.0
2015-01-02 16:00:00,2015,1,2,16,0,79,54,170,1.0,1,7,81.58,0.129,254.1,1010,78.96000000000001,0.969
